player_name,team,position,actual_rating,predicted_rating,rating_difference
András Schäfer,Union Berlin,Midfielder,1.978970519492883,2.021712828253772,0.042742308760889136
Jan-Niklas Beste,FC Heidenheim,Forward,1.8026458782676715,2.016740761749456,0.2140948834817844
Brenden Aaronson,Union Berlin,Midfielder,2.1525712546372784,2.0102047332955273,-0.1423665213417511
Maxence Lacroix,Wolfsburg,Defender,2.027883739410007,2.0041381862170886,-0.02374555319291849
Lucas Höler,Freiburg,Forward,1.9899620843411143,2.001576668201976,0.011614583860861671
Linton Maina,FC Köln,Midfielder,2.046533261798004,1.9967399455229693,-0.04979331627503458
Theoson Jordan Siebatcheu,Borussia Mönchengladbach,Forward,2.038580412335058,1.9949115203584038,-0.043668891976654356
Janik Haberer,Union Berlin,Forward,2.070619305422153,1.9945118595149285,-0.07610744590722462
Rafael Santos Borré Amaury,Werder Bremen,Forward,1.7758400603330984,1.9767074756482343,0.20086741531513597
Marco Reus,Borussia Dortmund,Forward,1.5534565950953758,1.9758297722727278,0.422373177177352
Omar Haktab Traorè,FC Heidenheim,Defender,2.028197347860719,1.9734134300697956,-0.05478391779092329
Chris Führich,VfB Stuttgart,Defender,1.2428621211053508,1.9579220646031896,0.7150599434978389
Emir Karic,Darmstadt 98,Defender,1.912280895187218,1.9576046622380263,0.045323767050808206
Ritsu Doan,Freiburg,Midfielder,1.8503629750453456,1.955930645722762,0.10556767067741646
Luca Pfeiffer,Darmstadt 98,Forward,1.8627960593371964,1.9508901767647961,0.08809411742759976
Faride Alidou,FC Köln,Midfielder,1.842627119610186,1.9481583230395243,0.1055312034293383
Tim Drexler,Hoffenheim,Defender,2.014721863946221,1.946813357328383,-0.06790850661783798
Ko Itakura,Borussia Mönchengladbach,Defender,1.913613878276849,1.9449560583448695,0.031342180068020475
Hugo Ekitike,Eintracht Frankfurt,Forward,1.983700046594361,1.9445720371623225,-0.039128009432038535
Sheraldo Becker,Union Berlin,Forward,1.951099068242656,1.9432432105505486,-0.007855857692107504
Deniz Undav,VfB Stuttgart,Forward,1.9032639644337015,1.9427576260719612,0.039493661638259736
Sepp van den Berg,FSV Mainz 05,Defender,1.955075492974129,1.942709141660586,-0.012366351313543023
Josha Mamadou Karaboue Vagnoman,VfB Stuttgart,Defender,1.9225901112775807,1.940134411650096,0.01754430037251531
Lucas Tousart,Union Berlin,Midfielder,1.9285659947643103,1.9366598242624413,0.008093829498130978
Patrick Mainka,FC Heidenheim,Defender,2.24005259872968,1.9364714972439,-0.3035811014857799
